id_uci,nclients,seed,data_name,train_size,number_classes,majority_class,ranking,selection,param,consolidation,round1_n_rules,round1_n_items_antecedent,round2_n_rules,round2_n_items_antecedent,final_nrules,final_total_items,default_class,comm_cost
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,66,240,,,64,237,no-recurrence-events,1768
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,66,240,64.0,237.0,47,164,no-recurrence-events,4116
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,109,414,,,107,411,no-recurrence-events,2980
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,109,414,107.0,411.0,84,313,no-recurrence-events,7136
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,136,535,,,134,532,no-recurrence-events,3788
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,136,535,134.0,532.0,105,405,no-recurrence-events,9120
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,167,655,,,164,648,no-recurrence-events,4640
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,167,655,164.0,648.0,130,498,no-recurrence-events,11156
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,38,161,,,38,161,no-recurrence-events,1116
14,2,5,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,38,161,38.0,161.0,28,115,no-recurrence-events,2676
14,2,5,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,66,240,64.0,237.0,47,164,no-recurrence-events,4116
14,2,5,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,109,414,107.0,411.0,84,313,no-recurrence-events,7136
14,2,5,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,136,535,134.0,532.0,105,405,no-recurrence-events,9120
14,2,5,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,167,655,164.0,648.0,130,498,no-recurrence-events,11156
14,2,5,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,38,161,38.0,161.0,28,115,no-recurrence-events,2676
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,63,232,,,62,227,no-recurrence-events,1700
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,63,232,62.0,227.0,52,190,no-recurrence-events,4100
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,101,382,,,97,365,no-recurrence-events,2756
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,101,382,97.0,365.0,77,291,no-recurrence-events,6496
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,137,519,,,131,498,no-recurrence-events,3736
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,137,519,131.0,498.0,103,392,no-recurrence-events,8796
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,159,620,,,153,599,no-recurrence-events,4404
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,159,620,153.0,599.0,121,474,no-recurrence-events,10460
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,41,167,,,41,167,no-recurrence-events,1176
14,2,14,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,41,167,41.0,167.0,35,142,no-recurrence-events,2904
14,2,14,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,63,232,62.0,227.0,52,190,no-recurrence-events,4100
14,2,14,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,101,382,97.0,365.0,77,291,no-recurrence-events,6496
14,2,14,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,137,519,131.0,498.0,103,392,no-recurrence-events,8796
14,2,14,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,159,620,153.0,599.0,121,474,no-recurrence-events,10460
14,2,14,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,41,167,41.0,167.0,35,142,no-recurrence-events,2904
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,70,243,,,69,240,no-recurrence-events,1828
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,70,243,69.0,240.0,51,179,no-recurrence-events,4320
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,123,433,,,118,422,no-recurrence-events,3224
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,123,433,118.0,422.0,92,326,no-recurrence-events,7572
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,157,575,,,151,560,no-recurrence-events,4200
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,157,575,151.0,560.0,122,448,no-recurrence-events,9972
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,184,687,,,176,668,no-recurrence-events,4972
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,184,687,176.0,668.0,145,547,no-recurrence-events,11848
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,44,168,,,43,165,no-recurrence-events,1216
14,2,17,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,44,168,43.0,165.0,30,119,no-recurrence-events,2856
14,2,17,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,70,243,69.0,240.0,51,179,no-recurrence-events,4320
14,2,17,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,123,433,118.0,422.0,92,326,no-recurrence-events,7572
14,2,17,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,157,575,151.0,560.0,122,448,no-recurrence-events,9972
14,2,17,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,184,687,176.0,668.0,145,547,no-recurrence-events,11848
14,2,17,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,44,168,43.0,165.0,30,119,no-recurrence-events,2856
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,76,270,,,73,261,no-recurrence-events,2008
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,76,270,73.0,261.0,50,169,no-recurrence-events,4568
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,130,477,,,123,460,no-recurrence-events,3484
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,130,477,123.0,460.0,86,307,no-recurrence-events,7944
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,165,618,,,157,600,no-recurrence-events,4468
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,165,618,157.0,600.0,115,421,no-recurrence-events,10340
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,193,749,,,184,729,no-recurrence-events,5328
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,193,749,184.0,729.0,136,517,no-recurrence-events,12412
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,45,177,,,45,177,no-recurrence-events,1264
14,2,19,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,45,177,45.0,177.0,31,116,no-recurrence-events,2976
14,2,19,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,76,270,73.0,261.0,50,169,no-recurrence-events,4568
14,2,19,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,130,477,123.0,460.0,86,307,no-recurrence-events,7944
14,2,19,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,165,618,157.0,600.0,115,421,no-recurrence-events,10340
14,2,19,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,193,749,184.0,729.0,136,517,no-recurrence-events,12412
14,2,19,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,45,177,45.0,177.0,31,116,no-recurrence-events,2976
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,73,281,,,73,281,no-recurrence-events,2016
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,73,281,73.0,281.0,63,240,no-recurrence-events,4976
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,114,427,,,111,415,no-recurrence-events,3092
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,114,427,111.0,415.0,101,374,no-recurrence-events,7544
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,141,539,,,138,527,no-recurrence-events,3864
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,141,539,138.0,527.0,124,466,no-recurrence-events,9456
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,163,628,,,160,616,no-recurrence-events,4484
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,163,628,160.0,616.0,143,547,no-recurrence-events,11020
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,50,219,,,50,219,no-recurrence-events,1492
14,2,29,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,50,219,50.0,219.0,42,183,no-recurrence-events,3700
14,2,29,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,73,281,73.0,281.0,63,240,no-recurrence-events,4976
14,2,29,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,114,427,111.0,415.0,101,374,no-recurrence-events,7544
14,2,29,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,141,539,138.0,527.0,124,466,no-recurrence-events,9456
14,2,29,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,163,628,160.0,616.0,143,547,no-recurrence-events,11020
14,2,29,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,50,219,50.0,219.0,42,183,no-recurrence-events,3700
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,70,253,,,68,249,no-recurrence-events,1868
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,70,253,68.0,249.0,51,191,no-recurrence-events,4420
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,110,404,,,106,396,no-recurrence-events,2952
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,110,404,106.0,396.0,78,289,no-recurrence-events,6916
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,140,546,,,135,535,no-recurrence-events,3880
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,140,546,135.0,535.0,98,383,no-recurrence-events,9112
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,158,632,,,153,621,no-recurrence-events,4440
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,158,632,153.0,621.0,114,459,no-recurrence-events,10536
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,47,192,,,46,189,no-recurrence-events,1348
14,2,31,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,47,192,46.0,189.0,35,143,no-recurrence-events,3216
14,2,31,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,70,253,68.0,249.0,51,191,no-recurrence-events,4420
14,2,31,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,110,404,106.0,396.0,78,289,no-recurrence-events,6916
14,2,31,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,140,546,135.0,535.0,98,383,no-recurrence-events,9112
14,2,31,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,158,632,153.0,621.0,114,459,no-recurrence-events,10536
14,2,31,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,47,192,46.0,189.0,35,143,no-recurrence-events,3216
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,78,268,,,74,256,no-recurrence-events,2024
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,78,268,74.0,256.0,56,194,no-recurrence-events,4664
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,139,513,,,132,491,no-recurrence-events,3736
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,139,513,132.0,491.0,102,380,no-recurrence-events,8720
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,176,656,,,165,619,no-recurrence-events,4752
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,176,656,165.0,619.0,125,466,no-recurrence-events,10940
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,205,782,,,193,743,no-recurrence-events,5604
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,205,782,193.0,743.0,146,559,no-recurrence-events,12984
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,50,188,,,49,185,no-recurrence-events,1368
14,2,34,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,50,188,49.0,185.0,37,138,no-recurrence-events,3236
14,2,34,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,78,268,74.0,256.0,56,194,no-recurrence-events,4664
14,2,34,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,139,513,132.0,491.0,102,380,no-recurrence-events,8720
14,2,34,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,176,656,165.0,619.0,125,466,no-recurrence-events,10940
14,2,34,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,205,782,193.0,743.0,146,559,no-recurrence-events,12984
14,2,34,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,50,188,49.0,185.0,37,138,no-recurrence-events,3236
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,71,245,,,70,241,no-recurrence-events,1848
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,71,245,70.0,241.0,50,182,no-recurrence-events,4368
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,115,409,,,111,395,no-recurrence-events,3032
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,115,409,111.0,395.0,77,282,no-recurrence-events,7024
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,145,517,,,138,496,no-recurrence-events,3824
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,145,517,138.0,496.0,101,369,no-recurrence-events,8856
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,169,618,,,160,590,no-recurrence-events,4516
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,169,618,160.0,590.0,117,438,no-recurrence-events,10440
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,45,175,,,45,175,no-recurrence-events,1256
14,2,42,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,45,175,45.0,175.0,33,135,no-recurrence-events,3036
14,2,42,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,71,245,70.0,241.0,50,182,no-recurrence-events,4368
14,2,42,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,115,409,111.0,395.0,77,282,no-recurrence-events,7024
14,2,42,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,145,517,138.0,496.0,101,369,no-recurrence-events,8856
14,2,42,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,169,618,160.0,590.0,117,438,no-recurrence-events,10440
14,2,42,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,45,175,45.0,175.0,33,135,no-recurrence-events,3036
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,64,220,,,62,214,no-recurrence-events,1664
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,64,220,62.0,214.0,53,184,no-recurrence-events,3976
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,109,381,,,101,361,no-recurrence-events,2848
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,109,381,101.0,361.0,86,307,no-recurrence-events,6636
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,126,446,,,118,426,no-recurrence-events,3312
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,126,446,118.0,426.0,101,365,no-recurrence-events,7796
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,146,522,,,138,502,no-recurrence-events,3856
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,146,522,138.0,502.0,118,430,no-recurrence-events,9144
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,40,156,,,39,152,no-recurrence-events,1120
14,2,49,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,40,156,39.0,152.0,34,132,no-recurrence-events,2712
14,2,49,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,64,220,62.0,214.0,53,184,no-recurrence-events,3976
14,2,49,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,109,381,101.0,361.0,86,307,no-recurrence-events,6636
14,2,49,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,126,446,118.0,426.0,101,365,no-recurrence-events,7796
14,2,49,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,146,522,138.0,502.0,118,430,no-recurrence-events,9144
14,2,49,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,40,156,39.0,152.0,34,132,no-recurrence-events,2712
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,78,289,,,77,286,no-recurrence-events,2108
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,78,289,77.0,286.0,62,229,no-recurrence-events,5080
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,123,442,,,118,428,no-recurrence-events,3260
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,123,442,118.0,428.0,97,352,no-recurrence-events,7736
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,160,568,,,149,539,no-recurrence-events,4208
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,160,568,149.0,539.0,124,448,no-recurrence-events,9812
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,192,691,,,178,653,no-recurrence-events,5084
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,192,691,178.0,653.0,150,551,no-recurrence-events,11868
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,50,211,,,50,211,no-recurrence-events,1460
14,2,63,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,50,211,50.0,211.0,39,163,no-recurrence-events,3556
14,2,63,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,78,289,77.0,286.0,62,229,no-recurrence-events,5080
14,2,63,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,123,442,118.0,428.0,97,352,no-recurrence-events,7736
14,2,63,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,160,568,149.0,539.0,124,448,no-recurrence-events,9812
14,2,63,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,192,691,178.0,653.0,150,551,no-recurrence-events,11868
14,2,63,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,50,211,50.0,211.0,39,163,no-recurrence-events,3556
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,75,263,,,73,261,no-recurrence-events,1968
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,75,263,73.0,261.0,64,228,no-recurrence-events,4776
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,117,409,,,112,397,no-recurrence-events,3056
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,117,409,112.0,397.0,96,339,no-recurrence-events,7284
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,147,533,,,139,512,no-recurrence-events,3912
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,147,533,139.0,512.0,119,436,no-recurrence-events,9276
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,166,611,,,157,586,no-recurrence-events,4452
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,166,611,157.0,586.0,134,496,no-recurrence-events,10556
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,43,172,,,43,172,no-recurrence-events,1220
14,2,64,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,43,172,43.0,172.0,36,145,no-recurrence-events,3004
14,2,64,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,75,263,73.0,261.0,64,228,no-recurrence-events,4776
14,2,64,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,117,409,112.0,397.0,96,339,no-recurrence-events,7284
14,2,64,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,147,533,139.0,512.0,119,436,no-recurrence-events,9276
14,2,64,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,166,611,157.0,586.0,134,496,no-recurrence-events,10556
14,2,64,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,43,172,43.0,172.0,36,145,no-recurrence-events,3004
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,76,249,,,74,246,no-recurrence-events,1924
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,76,249,74.0,246.0,53,180,no-recurrence-events,4492
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,130,453,,,126,446,no-recurrence-events,3388
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,130,453,126.0,446.0,83,297,no-recurrence-events,7824
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,168,613,,,162,600,no-recurrence-events,4484
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,168,613,162.0,600.0,111,421,no-recurrence-events,10440
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,195,723,,,185,699,no-recurrence-events,5248
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,195,723,185.0,699.0,126,488,no-recurrence-events,12096
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,47,181,,,47,181,no-recurrence-events,1304
14,2,65,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,47,181,47.0,181.0,37,145,no-recurrence-events,3172
14,2,65,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,76,249,74.0,246.0,53,180,no-recurrence-events,4492
14,2,65,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,130,453,126.0,446.0,83,297,no-recurrence-events,7824
14,2,65,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,168,613,162.0,600.0,111,421,no-recurrence-events,10440
14,2,65,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,195,723,185.0,699.0,126,488,no-recurrence-events,12096
14,2,65,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,47,181,47.0,181.0,37,145,no-recurrence-events,3172
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,73,248,,,71,241,no-recurrence-events,1884
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,73,248,71.0,241.0,54,175,no-recurrence-events,4376
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,127,448,,,124,439,no-recurrence-events,3332
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,127,448,124.0,439.0,100,349,no-recurrence-events,7936
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,171,632,,,167,620,no-recurrence-events,4596
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,171,632,167.0,620.0,124,453,no-recurrence-events,10844
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,DAC,196,731,,,189,715,no-recurrence-events,5292
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,4.0,exact,196,731,189.0,715.0,143,536,no-recurrence-events,12480
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,DAC,41,160,,,41,160,no-recurrence-events,1148
14,2,68,Breast Cancer,228,2,no-recurrence-events,1,select_coverage_CBA_M1,,exact,41,160,41.0,160.0,31,115,no-recurrence-events,2740
14,2,68,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,1.0,exact,73,248,71.0,241.0,54,175,no-recurrence-events,4376
14,2,68,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,2.0,exact,127,448,124.0,439.0,100,349,no-recurrence-events,7936
14,2,68,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,3.0,exact,171,632,167.0,620.0,124,453,no-recurrence-events,10844
14,2,68,Breast Cancer,228,2,no-recurrence-events,2,select_coverage,4.0,exact,196,731,189.0,715.0,143,536,no-recurrence-events,12480
14,2,68,Breast Cancer,228,2,no-recurrence-events,2,select_coverage_CBA_M1,,exact,41,160,41.0,160.0,31,115,no-recurrence-events,2740
14,2,74,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,DAC,73,234,,,72,233,no-recurrence-events,1828
14,2,74,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,1.0,exact,73,234,72.0,233.0,57,190,no-recurrence-events,4372
14,2,74,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,DAC,122,424,,,120,420,no-recurrence-events,3176
14,2,74,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,2.0,exact,122,424,120.0,420.0,96,332,no-recurrence-events,7600
14,2,74,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,DAC,158,569,,,152,554,no-recurrence-events,4188
14,2,74,Breast Cancer,228,2,no-recurrence-events,1,select_coverage,3.0,exact,158,569,152.0,554.0,124,449,no-recurrence-events,9952
