seed,ranking,selection,param,consolidation,strategy,majority_class,no_matches_test,acc_test,bacc_test,f1_test,mcc_test,erros_test,acc_test_maj,bacc_test_maj,f1_test_maj,mcc_test_maj,erros_test_maj,nclients
5,1,select_coverage_CBA_M1,,DAC,list,no-recurrence-events,26,0.7586206896551724,0.7087517934002869,0.7087517934002869,0.4175035868005738,14,,,,,,2
5,1,select_coverage_CBA_M1,,exact,majority,no-recurrence-events,29,0.7413793103448276,0.6965566714490674,0.693121693121693,0.3867834880173936,15,,,,,,2
5,1,select_coverage_CBA_M1,,exact,cmar,no-recurrence-events,29,0.7241379310344828,0.6843615494978479,0.6777777777777778,0.3576083330888607,16,,,,,,2
5,1,select_coverage_CBA_M1,,exact,top_k_avg,no-recurrence-events,29,0.7586206896551724,0.6915351506456241,0.6979166666666667,0.3982126159619517,14,,,,,,2
5,1,select_coverage_CBA_M1,,exact,list,no-recurrence-events,29,0.7413793103448276,0.6793400286944046,0.6823658269441402,0.3652910091283433,15,,,,,,2
5,2,select_coverage,1.0,exact,majority,no-recurrence-events,0,0.7758620689655172,0.6520803443328551,0.6685714285714286,0.4015036301116422,13,,,,,,2
5,2,select_coverage,1.0,exact,cmar,no-recurrence-events,0,0.8103448275862069,0.7109038737446198,0.7344985434873075,0.508288545353089,11,,,,,,2
5,2,select_coverage,1.0,exact,top_k_avg,no-recurrence-events,0,0.7931034482758621,0.6814921090387374,0.7025641025641025,0.4563361114925673,12,,,,,,2
5,2,select_coverage,1.0,exact,list,no-recurrence-events,0,0.7758620689655172,0.669296987087518,0.6862255513940907,0.4080139343650646,13,,,,,,2
5,2,select_coverage,2.0,exact,majority,no-recurrence-events,0,0.7931034482758621,0.6814921090387374,0.7025641025641025,0.4563361114925673,12,,,,,,2
5,2,select_coverage,2.0,exact,cmar,no-recurrence-events,0,0.8103448275862069,0.7281205164992827,0.7471264367816093,0.5126738808838206,11,,,,,,2
5,2,select_coverage,2.0,exact,top_k_avg,no-recurrence-events,0,0.7758620689655172,0.6520803443328551,0.6685714285714286,0.4015036301116422,13,,,,,,2
5,2,select_coverage,2.0,exact,list,no-recurrence-events,0,0.8275862068965517,0.757532281205165,0.7751937984496124,0.5622120199655017,10,,,,,,2
5,2,select_coverage,3.0,exact,majority,no-recurrence-events,0,0.7931034482758621,0.6814921090387374,0.7025641025641025,0.4563361114925673,12,,,,,,2
5,2,select_coverage,3.0,exact,cmar,no-recurrence-events,0,0.8103448275862069,0.7281205164992827,0.7471264367816093,0.5126738808838206,11,,,,,,2
5,2,select_coverage,3.0,exact,top_k_avg,no-recurrence-events,0,0.8103448275862069,0.7109038737446198,0.7344985434873075,0.508288545353089,11,,,,,,2
5,2,select_coverage,3.0,exact,list,no-recurrence-events,0,0.8275862068965517,0.757532281205165,0.7751937984496124,0.5622120199655017,10,,,,,,2
5,2,select_coverage,4.0,exact,majority,no-recurrence-events,0,0.7758620689655172,0.6520803443328551,0.6685714285714286,0.4015036301116422,13,,,,,,2
5,2,select_coverage,4.0,exact,cmar,no-recurrence-events,0,0.8103448275862069,0.7281205164992827,0.7471264367816093,0.5126738808838206,11,,,,,,2
5,2,select_coverage,4.0,exact,top_k_avg,no-recurrence-events,0,0.8103448275862069,0.7109038737446198,0.7344985434873075,0.508288545353089,11,,,,,,2
5,2,select_coverage,4.0,exact,list,no-recurrence-events,0,0.8275862068965517,0.757532281205165,0.7751937984496124,0.5622120199655017,10,,,,,,2
5,2,select_coverage_CBA_M1,,exact,majority,no-recurrence-events,29,0.7413793103448276,0.6965566714490674,0.693121693121693,0.3867834880173936,15,,,,,,2
5,2,select_coverage_CBA_M1,,exact,cmar,no-recurrence-events,29,0.7241379310344828,0.6843615494978479,0.6777777777777778,0.3576083330888607,16,,,,,,2
